,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
3328,G27013700018002,2010-2014,Minnesota,2,15000US271370018002,5,0,0,0,0,0,0,5,0
3329,G27013700018003,2010-2014,Minnesota,3,15000US271370018003,10,0,0,0,0,0,0,10,0
3330,G27013700019001,2010-2014,Minnesota,1,15000US271370019001,0,0,0,0,0,0,0,0,0
3331,G27013700019002,2010-2014,Minnesota,2,15000US271370019002,0,0,0,0,0,0,0,0,0
3332,G27013700020001,2010-2014,Minnesota,1,15000US271370020001,25,0,0,0,0,0,0,25,0
3333,G27013700020002,2010-2014,Minnesota,2,15000US271370020002,0,0,0,0,0,0,0,0,0
3334,G27013700022001,2010-2014,Minnesota,1,15000US271370022001,31,0,0,0,0,0,0,31,0
3335,G27013700023001,2010-2014,Minnesota,1,15000US271370023001,15,0,0,0,0,0,5,15,0
3336,G27013700023002,2010-2014,Minnesota,2,15000US271370023002,17,0,0,0,0,0,0,17,0
3337,G27013700023003,2010-2014,Minnesota,3,15000US271370023003,0,0,0,0,0,0,0,0,0
3338,G27013700023004,2010-2014,Minnesota,4,15000US271370023004,0,0,0,0,0,0,0,0,0
3339,G27013700024001,2010-2014,Minnesota,1,15000US271370024001,0,0,4,0,0,0,0,0,0
3340,G27013700026001,2010-2014,Minnesota,1,15000US271370026001,0,0,0,0,0,0,0,0,0
3341,G27013700026002,2010-2014,Minnesota,2,15000US271370026002,0,0,0,0,0,0,0,0,0
3342,G27013700029001,2010-2014,Minnesota,1,15000US271370029001,0,0,0,0,0,0,0,0,0
3343,G27013700029002,2010-2014,Minnesota,2,15000US271370029002,22,0,0,0,0,0,0,1,21
3344,G27013700030001,2010-2014,Minnesota,1,15000US271370030001,15,10,0,0,0,0,0,15,0
3345,G27013700030002,2010-2014,Minnesota,2,15000US271370030002,0,0,0,0,0,0,0,0,0
3346,G27013700033001,2010-2014,Minnesota,1,15000US271370033001,0,0,0,0,0,0,0,0,0
3347,G27013700033002,2010-2014,Minnesota,2,15000US271370033002,20,0,0,0,0,0,0,20,0
3348,G27013700033003,2010-2014,Minnesota,3,15000US271370033003,0,0,7,0,0,0,0,0,0
3349,G27013700034001,2010-2014,Minnesota,1,15000US271370034001,12,0,0,0,0,0,0,12,0
3350,G27013700034002,2010-2014,Minnesota,2,15000US271370034002,3,0,0,0,0,0,0,3,0
3351,G27013700036001,2010-2014,Minnesota,1,15000US271370036001,11,0,0,0,0,0,0,8,3
3352,G27013700036002,2010-2014,Minnesota,2,15000US271370036002,0,0,0,0,0,0,0,0,0
3353,G27013700037001,2010-2014,Minnesota,1,15000US271370037001,22,0,0,0,0,0,0,22,0
3354,G27013700037002,2010-2014,Minnesota,2,15000US271370037002,0,0,0,0,0,0,0,0,0
3355,G27013700038001,2010-2014,Minnesota,1,15000US271370038001,0,0,0,0,0,0,0,0,0
3356,G27013700038002,2010-2014,Minnesota,2,15000US271370038002,10,0,0,0,0,0,0,10,0
3357,G27013700038003,2010-2014,Minnesota,3,15000US271370038003,31,0,0,0,0,0,0,31,0
3358,G27013700101001,2010-2014,Minnesota,1,15000US271370101001,7,0,0,0,0,0,0,7,0
3359,G27013700101002,2010-2014,Minnesota,2,15000US271370101002,37,0,0,0,0,0,0,37,0
3360,G27013700101003,2010-2014,Minnesota,3,15000US271370101003,7,0,0,0,0,0,0,7,0
3361,G27013700102001,2010-2014,Minnesota,1,15000US271370102001,29,0,0,0,0,0,0,29,0
3362,G27013700103001,2010-2014,Minnesota,1,15000US271370103001,23,0,0,0,0,0,0,23,0
3363,G27013700103002,2010-2014,Minnesota,2,15000US271370103002,0,0,0,0,0,0,0,0,0
3364,G27013700103003,2010-2014,Minnesota,3,15000US271370103003,60,0,0,0,0,0,15,60,0
3365,G27013700103004,2010-2014,Minnesota,4,15000US271370103004,26,0,0,0,0,0,0,26,0
3366,G27013700103005,2010-2014,Minnesota,5,15000US271370103005,17,0,0,0,0,0,0,17,0
3367,G27013700104001,2010-2014,Minnesota,1,15000US271370104001,0,0,0,0,0,0,0,0,0
3368,G27013700104002,2010-2014,Minnesota,2,15000US271370104002,0,0,0,0,0,0,0,0,0
3369,G27013700105001,2010-2014,Minnesota,1,15000US271370105001,11,0,0,0,0,0,0,11,0
3370,G27013700105002,2010-2014,Minnesota,2,15000US271370105002,47,0,0,0,0,0,0,47,0
3371,G27013700106001,2010-2014,Minnesota,1,15000US271370106001,21,0,0,0,0,0,0,21,0
3372,G27013700106002,2010-2014,Minnesota,2,15000US271370106002,21,0,0,0,0,0,0,21,0
3373,G27013700106003,2010-2014,Minnesota,3,15000US271370106003,24,0,0,0,0,0,0,24,0
3374,G27013700106004,2010-2014,Minnesota,4,15000US271370106004,29,0,0,0,0,0,0,29,0
3375,G27013700111001,2010-2014,Minnesota,1,15000US271370111001,46,0,0,0,0,0,14,46,0
3376,G27013700111002,2010-2014,Minnesota,2,15000US271370111002,11,0,0,0,0,0,0,11,0
3377,G27013700111003,2010-2014,Minnesota,3,15000US271370111003,5,0,0,0,0,0,0,5,0
3378,G27013700111004,2010-2014,Minnesota,4,15000US271370111004,9,0,2,0,0,0,0,9,0
3379,G27013700111005,2010-2014,Minnesota,5,15000US271370111005,10,0,0,0,0,0,0,10,0
3380,G27013700112001,2010-2014,Minnesota,1,15000US271370112001,3,0,0,0,0,0,0,3,0
3381,G27013700112002,2010-2014,Minnesota,2,15000US271370112002,3,0,0,0,0,0,0,3,0
3382,G27013700112003,2010-2014,Minnesota,3,15000US271370112003,1,0,7,0,0,0,0,1,0
3383,G27013700112004,2010-2014,Minnesota,4,15000US271370112004,7,0,0,0,0,0,0,7,0
3384,G27013700113001,2010-2014,Minnesota,1,15000US271370113001,16,0,0,0,0,0,0,16,0
3385,G27013700113002,2010-2014,Minnesota,2,15000US271370113002,14,0,0,0,0,0,0,14,0
3386,G27013700113003,2010-2014,Minnesota,3,15000US271370113003,5,0,0,0,0,1,0,5,0
3387,G27013700114001,2010-2014,Minnesota,1,15000US271370114001,24,0,0,0,0,0,0,24,0
3388,G27013700114002,2010-2014,Minnesota,2,15000US271370114002,12,0,0,0,0,0,0,12,0
3389,G27013700114003,2010-2014,Minnesota,3,15000US271370114003,3,0,0,0,0,0,0,3,0
3390,G27013700114004,2010-2014,Minnesota,4,15000US271370114004,0,0,0,0,0,0,0,0,0
3391,G27013700121001,2010-2014,Minnesota,1,15000US271370121001,0,0,0,0,0,0,0,0,0
3392,G27013700121002,2010-2014,Minnesota,2,15000US271370121002,15,0,0,0,0,0,0,15,0
3393,G27013700121003,2010-2014,Minnesota,3,15000US271370121003,18,0,0,0,0,0,0,18,0
3394,G27013700121004,2010-2014,Minnesota,4,15000US271370121004,13,0,0,0,0,0,0,13,0
3395,G27013700121005,2010-2014,Minnesota,5,15000US271370121005,0,0,0,0,0,0,0,0,0
3396,G27013700122001,2010-2014,Minnesota,1,15000US271370122001,17,0,0,0,0,0,0,17,0
3397,G27013700122002,2010-2014,Minnesota,2,15000US271370122002,15,0,0,0,0,0,0,15,0
3398,G27013700122003,2010-2014,Minnesota,3,15000US271370122003,7,0,0,0,0,0,0,7,0
3399,G27013700123001,2010-2014,Minnesota,1,15000US271370123001,6,0,0,0,0,0,0,6,0
3400,G27013700123002,2010-2014,Minnesota,2,15000US271370123002,0,0,0,0,0,0,0,0,0
3401,G27013700123003,2010-2014,Minnesota,3,15000US271370123003,0,0,0,0,0,0,0,0,0
3402,G27013700123004,2010-2014,Minnesota,4,15000US271370123004,0,0,0,0,0,0,0,0,0
